UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,StockNumber,ItemName,Category,Description,Branch,UnitOfIssue,UnitPrice,MaxQtyPerRequest,LeadTimeDays,ApprovedVendors,Reference,Active,FSC,NIIN
425A4B21781EC30BFFA6E0DC2D8CFC29,92A,,07/31/2012 13:49:19,05/07/2017 09:03:13,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-350-1669,"Guidon, Infantry, 20 in x 27-3/4 in, light blue",Guidon,"Guidon, Infantry, 20 in x 27-3/4 in, light blue; per AR 840-10; heraldic specification TIOH.",Infantry,EA,64.57,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-350-1669
37AE729D47F02D7C3EED573ED5C7FAF5,92E,,01/26/2012 16:59:27,01/11/2021 08:14:02,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-823-2780,"Guidon, Armor, 20 in x 27-3/4 in, yellow",Guidon,"Guidon, Armor, 20 in x 27-3/4 in, yellow; per AR 840-10; heraldic specification TIOH.",Armor,EA,75.75,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-823-2780
0914B4E811B6A128FF9ACD0597FB2524,932,,05/06/2011 13:32:49,06/20/2019 11:38:47,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-01-270-1892,"Guidon, Field Artillery, 20 in x 27-3/4 in, scarlet",Guidon,"Guidon, Field Artillery, 20 in x 27-3/4 in, scarlet; per AR 840-10; heraldic specification TIOH.",Field Artillery,EA,120.51,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-270-1892
71C75840927BD4CCFCD409846762BB61,936,,04/29/2012 15:12:55,09/15/2023 11:25:25,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-01-324-8329,"Guidon, Air Defense Artillery, 20 in x 27-3/4 in, scarlet",Guidon,"Guidon, Air Defense Artillery, 20 in x 27-3/4 in, scarlet; per AR 840-10; heraldic specification TIOH.",Air Defense Artillery,EA,127.38,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-324-8329
7FD81A5C5CB190FA62305C9EF304B006,93A,,07/02/2005 11:33:39,05/31/2013 08:53:06,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-448-6262,"Guidon, Aviation, 20 in x 27-3/4 in, ultramarine blue and golden orange",Guidon,"Guidon, Aviation, 20 in x 27-3/4 in, ultramarine blue and golden orange; per AR 840-10; heraldic specification TIOH.",Aviation,EA,80.26,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-448-6262
C9C563D8A135F4ECDFBDF7675190D4E3,93E,,07/01/2012 15:09:23,07/27/2024 09:07:08,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-603-7562,"Guidon, Cavalry, 20 in x 27-3/4 in, yellow",Guidon,"Guidon, Cavalry, 20 in x 27-3/4 in, yellow; per AR 840-10; heraldic specification TIOH.",Cavalry,EA,125.04,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-603-7562
4CBD2A3B4744609346001131520C0F1F,942,,12/25/2004 11:25:00,03/09/2025 07:35:14,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-00-279-9744,"Guidon, Corps of Engineers, 20 in x 27-3/4 in, scarlet and white",Guidon,"Guidon, Corps of Engineers, 20 in x 27-3/4 in, scarlet and white; per AR 840-10; heraldic specification TIOH.",Corps of Engineers,EA,127.95,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-279-9744
BCC6474104A617D8584F59F44C72B963,946,,04/11/2012 08:47:04,06/06/2019 16:11:09,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-537-5280,"Guidon, Signal Corps, 20 in x 27-3/4 in, orange and white",Guidon,"Guidon, Signal Corps, 20 in x 27-3/4 in, orange and white; per AR 840-10; heraldic specification TIOH.",Signal Corps,EA,85.25,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-537-5280
9BD2AA4E85C04F0F110F7D1627F2A01C,94A,,12/13/2010 14:30:57,07/26/2017 07:48:05,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-445-2770,"Guidon, Military Police Corps, 20 in x 27-3/4 in, green and yellow",Guidon,"Guidon, Military Police Corps, 20 in x 27-3/4 in, green and yellow; per AR 840-10; heraldic specification TIOH.",Military Police Corps,EA,133.13,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-445-2770
AD4C9DA14CC3D0011147B9B3AE94C9E6,94E,,11/18/2006 11:42:10,08/14/2025 13:15:37,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-01-479-1529,"Guidon, Army Medical Department, 20 in x 27-3/4 in, maroon and white",Guidon,"Guidon, Army Medical Department, 20 in x 27-3/4 in, maroon and white; per AR 840-10; heraldic specification TIOH.",Army Medical Department,EA,77.48,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-479-1529
3E72CFF4655F180022360D71B16FA867,952,,06/23/2009 16:37:22,07/16/2026 17:23:09,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-456-1906,"Guidon, Ordnance Corps, 20 in x 27-3/4 in, crimson and yellow",Guidon,"Guidon, Ordnance Corps, 20 in x 27-3/4 in, crimson and yellow; per AR 840-10; heraldic specification TIOH.",Ordnance Corps,EA,123.49,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-456-1906
5F481775771D488B61D6E8B5BA0ED82B,956,,06/28/2006 17:59:04,09/06/2025 16:46:37,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-724-5772,"Guidon, Quartermaster Corps, 20 in x 27-3/4 in, buff",Guidon,"Guidon, Quartermaster Corps, 20 in x 27-3/4 in, buff; per AR 840-10; heraldic specification TIOH.",Quartermaster Corps,EA,64.02,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-724-5772
6E04FCD9270CD27A330F3671E1E235A6,95A,,02/13/2012 08:42:32,09/02/2024 16:41:50,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-677-8650,"Guidon, Transportation Corps, 20 in x 27-3/4 in, brick red and golden yellow",Guidon,"Guidon, Transportation Corps, 20 in x 27-3/4 in, brick red and golden yellow; per AR 840-10; heraldic specification TIOH.",Transportation Corps,EA,101.27,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-677-8650
BC14D064D89F55CDB54BCF46DD0DCB8B,95E,,02/14/2010 08:50:27,11/14/2010 10:45:57,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-01-407-1474,"Guidon, Chemical Corps, 20 in x 27-3/4 in, cobalt blue and golden yellow",Guidon,"Guidon, Chemical Corps, 20 in x 27-3/4 in, cobalt blue and golden yellow; per AR 840-10; heraldic specification TIOH.",Chemical Corps,EA,95.09,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-407-1474
27FE91A344069879E0FD5374705F6EE1,962,,09/25/2008 16:52:11,10/02/2023 16:01:17,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,8345-00-260-1721,"Guidon, Military Intelligence Corps, 20 in x 27-3/4 in, oriental blue and silver gray",Guidon,"Guidon, Military Intelligence Corps, 20 in x 27-3/4 in, oriental blue and silver gray; per AR 840-10; heraldic specification TIOH.",Military Intelligence Corps,EA,113.02,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-260-1721
9326642B68343C054777350CE76CDB31,966,,04/08/2008 07:56:07,03/11/2014 14:58:30,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,8345-00-845-3882,"Guidon, Adjutant General's Corps, 20 in x 27-3/4 in, dark blue and scarlet",Guidon,"Guidon, Adjutant General's Corps, 20 in x 27-3/4 in, dark blue and scarlet; per AR 840-10; heraldic specification TIOH.",Adjutant General's Corps,EA,134.63,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-845-3882
96601C4BA97F063272C197AA42A2A615,96A,,03/16/2009 12:13:15,12/27/2009 13:55:24,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-997-4664,"Guidon, Finance Corps, 20 in x 27-3/4 in, silver gray and golden yellow",Guidon,"Guidon, Finance Corps, 20 in x 27-3/4 in, silver gray and golden yellow; per AR 840-10; heraldic specification TIOH.",Finance Corps,EA,94.30,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-997-4664
EE62A55A25A41F49D52276BFD76663DD,96E,,09/04/2006 07:11:29,06/01/2026 07:51:40,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-01-577-2141,"Guidon, Special Forces, 20 in x 27-3/4 in, teal blue",Guidon,"Guidon, Special Forces, 20 in x 27-3/4 in, teal blue; per AR 840-10; heraldic specification TIOH.",Special Forces,EA,86.45,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-577-2141
57CD9A1D39C2D5EB7715DBFEB61FA948,972,,12/14/2005 12:49:52,09/27/2024 08:55:44,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-553-8503,"Guidon, Civil Affairs, 20 in x 27-3/4 in, purple and white",Guidon,"Guidon, Civil Affairs, 20 in x 27-3/4 in, purple and white; per AR 840-10; heraldic specification TIOH.",Civil Affairs,EA,115.97,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,00-553-8503
1109A0E47F84BE6A0DF5AB76BE197552,976,,10/11/2009 15:21:53,01/16/2015 17:13:35,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,8345-01-483-9325,"Guidon, Psychological Operations, 20 in x 27-3/4 in, bottle green and silver gray",Guidon,"Guidon, Psychological Operations, 20 in x 27-3/4 in, bottle green and silver gray; per AR 840-10; heraldic specification TIOH.",Psychological Operations,EA,61.96,4,45,3SRF2;5KSB9;4TRD6;9CST0,AR 840-10,Yes,8345,01-483-9325
B4E6E1C652E1E73249EB9C7FD1413C26,97A,,09/04/2009 10:41:14,03/24/2010 07:02:15,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8345-00-506-7829,"Flag, Distinguishing, Army Corps Headquarters, 3 ft x 4 ft",Distinguishing Flag,"Flag, Distinguishing, Army Corps Headquarters, 3 ft x 4 ft; per AR 840-10; heraldic specification TIOH.",Army,EA,326.85,2,60,1CLR7;3SRF2;7GRN1;6HRT3,AR 840-10,Yes,8345,00-506-7829
