UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,VendorKey,VendorName,Address,City,State,ZIP,POC,Phone,Email,Products,ContractNumber,LeadTimeDays,Active,VendorUsers,VendorGroup,DocReaders
4FB44522E218E9C0B0F8DCECEF6264DF,8FA,,01/22/2019 08:14:47,04/15/2023 12:37:36,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,1CLR7,Liberty Colors LLC,4004 Industrial Pkwy,Allentown,PA,30476,Evelyn Fortenbury,(703) 555-1455,evelyn.fortenbury@liberty.example.com,Organizational Colors;Distinguishing Flag;Positional Color,W56HZV-21-D-0031,75,Yes,CN=Evelyn Fortenbury/O=Liberty Colors LLC,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
F5A9D15D7B9B82F1334919A953EAEBFF,8FE,,09/18/2012 12:43:23,09/25/2013 15:29:41,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,3SRF2,Sew-Rite Flag Company,2437 Industrial Dr,Scranton,PA,64811,Harold Altamirano-Diaz,(267) 555-1601,harold.altamirano@sew-rite.example.com,Guidon;Distinguishing Flag;Streamer,W56HZV-22-D-0104,60,Yes,CN=Harold Altamirano-Diaz/O=Sew-Rite Flag Company,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
6464FD0837DAC0C27256437817690BC0,902,,05/17/2006 10:56:42,05/11/2019 14:50:54,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,5KSB9,Keystone Banner Works,7954 Industrial Blvd,Lancaster,PA,85851,Nicole Guajardo,(215) 555-1801,nicole.guajardo@keystone.example.com,Guidon;Streamer,W56HZV-19-D-0087,90,Yes,CN=Nicole Guajardo/O=Keystone Banner Works,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
8620320BE8D3858B1B56FFE0DEC9F110,906,,01/25/2019 07:00:31,11/01/2023 13:54:15,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,0PLE4,"Old Line Embroidery, Inc.",3748 Industrial Blvd,Baltimore,MD,40936,Richard Quarterman,(484) 555-1925,richard.quarterman@old.example.com,Insignia;Organizational Colors,W56HZV-20-D-0019,30,Yes,"CN=Richard Quarterman/O=Old Line Embroidery, Inc.",Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
F5B8793E96DA454A90AB58F3810FED16,90A,,08/01/2013 13:12:59,05/22/2022 17:37:51,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,7GRN1,Great Northern Flag & Pennant,8235 Industrial Blvd,Duluth,MN,73907,Hector Mackelvane,(610) 555-1892,hector.mackelvane@great.example.com,Distinguishing Flag;Automobile Flag,W56HZV-23-D-0012,60,Yes,CN=Hector Mackelvane/O=Great Northern Flag & Pennant,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
CEE25BCB9B395BE98F66D70739BA82BA,90E,,10/03/2017 12:15:18,12/15/2018 15:04:20,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,2VLY8,Valley Forge Regalia Co.,7606 Industrial Blvd,Phoenixville,PA,91592,Justin Kellerhaus,(717) 555-1974,justin.kellerhaus@valley.example.com,Positional Color;Automobile Flag;Appurtenance,W56HZV-21-D-0077,75,Yes,CN=Justin Kellerhaus/O=Valley Forge Regalia Co.,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
07EB373EB0BC66E390E7DD4816C96C1B,912,,10/29/2004 13:29:05,03/25/2008 08:49:03,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,4TRD6,Tidewater Textile Products,9503 Industrial Dr,Norfolk,VA,28961,Earl Urquhart,(703) 555-1674,earl.urquhart@tidewater.example.com,Guidon;Organizational Colors,W56HZV-18-D-0140,60,Yes,CN=Earl Urquhart/O=Tidewater Textile Products,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
95DB5C7A46D08AC51B900855AACCC7D4,916,,02/21/2006 08:29:42,01/06/2010 10:53:21,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,6HRT3,Heartland Colors Manufacturing,1675 Industrial Pkwy,Topeka,KS,94297,Earl Whitlock-Bay,(540) 555-1281,earl.whitlock@heartland.example.com,Distinguishing Flag;Streamer,W56HZV-22-D-0066,45,Yes,CN=Earl Whitlock-Bay/O=Heartland Colors Manufacturing,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
725F9F7E4CABDBF23FA90144BDFECDB3,91A,,11/07/2015 14:20:57,02/06/2018 15:20:14,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,8BLU5,Blue Ridge Emblem Company,9703 Industrial Blvd,Roanoke,VA,98042,Mark Ostrowski-Lane,(267) 555-1762,mark.ostrowski@blue.example.com,Insignia;Appurtenance,W56HZV-20-D-0055,75,Yes,CN=Mark Ostrowski-Lane/O=Blue Ridge Emblem Company,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
99C75EE40CED1F683CD3E93EA812C35C,91E,,10/11/2007 14:09:13,01/22/2013 17:38:24,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,9CST0,Coastal Standard & Guidon,4571 Industrial Blvd,Wilmington,NC,64815,Brandon Cartlewood,(302) 555-1396,brandon.cartlewood@coastal.example.com,Guidon;Automobile Flag,W56HZV-24-D-0008,45,Yes,CN=Brandon Cartlewood/O=Coastal Standard & Guidon,Heraldry-Vendors,[TACOM];[Admin];[ReadOnlyAudit];LocalDomainServers;[Vendor]
