UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,FileName,SourceAgency,Layout,TransmissionDate,ReceivedDate,AuthorizationDate,ImportStatus,ImportedDate,ImportedBy,RecordCount,CasesCreated,LinesCreated,RequestersCreated,RequestersMatched,RecordsRejected,TrailerChecksum,ChecksumMatch,ImportLog,DocReaders,FileKey
1B8DDB99D4675E1BA23E153ADE8E12DD,102FA,,02/06/2012 04:11:28,02/06/2012 05:20:28,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20120206_b72.dat,nprc_awd_20120206_b72.dat,NPRC,NPRC-DELIM,02/06/2012,02/06/2012 04:11:28,02/02/2012,Imported,02/06/2012 05:20:28,CN=HRC-Transfer/OU=Agents/O=TACOM,285,79,204,8,71,0,N/A,N/A,"02/06/2012 05:20 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;02/06/2012 05:20 79 case record(s), 204 award record(s);02/06/2012 05:20 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20120206_B72.DAT
6BC5A24691B34228AE25C5E3CCD55CE3,102FE,,08/13/2015 06:36:31,08/13/2015 07:54:31,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20150813_8.txt,HRC_AWD_20150813_8.txt,HRC,HRC-FIXED,08/13/2015,08/13/2015 06:36:31,08/09/2015,Imported,08/13/2015 07:54:31,CN=HRC-Transfer/OU=Agents/O=TACOM,137,34,101,6,28,0,Yes,Yes,"08/13/2015 07:54 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;08/13/2015 07:54 34 case record(s), 101 award record(s);08/13/2015 07:54 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20150813_8.TXT
5C8327651AD44BABDE25848E6E025612,10302,,05/30/2022 04:29:16,05/30/2022 05:13:16,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20220530_3.txt,HRC_AWD_20220530_3.txt,HRC,HRC-FIXED,05/30/2022,05/30/2022 04:29:16,05/27/2022,Imported,05/30/2022 05:13:16,CN=HRC-Transfer/OU=Agents/O=TACOM,105,26,77,1,25,0,Yes,Yes,"05/30/2022 05:13 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;05/30/2022 05:13 26 case record(s), 77 award record(s);05/30/2022 05:13 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20220530_3.TXT
75644F45CBD7FF41626A152EF172BF29,10306,,02/23/2021 05:26:45,02/23/2021 05:44:45,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20210223_b22.dat,nprc_awd_20210223_b22.dat,NPRC,NPRC-DELIM,02/23/2021,02/23/2021 05:26:45,02/22/2021,Imported with Errors,02/23/2021 05:44:45,CN=HRC-Transfer/OU=Agents/O=TACOM,120,34,84,1,33,2,N/A,N/A,"02/23/2021 05:44 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;02/23/2021 05:44 34 case record(s), 84 award record(s);02/23/2021 05:44 2 record(s) rejected - see ImportLog detail;02/23/2021 05:44 Import finished: Imported with Errors",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20210223_B22.DAT
0155447D42F9E5E499F171040AF6061B,1030A,,10/17/2023 06:40:52,10/17/2023 08:05:52,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20231017_3.txt,HRC_AWD_20231017_3.txt,HRC,HRC-FIXED,10/17/2023,10/17/2023 06:40:52,10/16/2023,Imported,10/17/2023 08:05:52,CN=HRC-Transfer/OU=Agents/O=TACOM,53,16,35,0,16,0,Yes,Yes,"10/17/2023 08:05 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;10/17/2023 08:05 16 case record(s), 35 award record(s);10/17/2023 08:05 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20231017_3.TXT
09AF1C0DD4CC72353D5A0C498B894B7F,1030E,,10/06/2008 06:12:55,10/06/2008 07:15:55,CN=HRC-Transfer/OU=Agents/O=TACOM,,HRC_AWD_20081006_6.txt,HRC,HRC-FIXED,10/06/2008,10/06/2008 06:12:55,10/05/2008,Imported,10/06/2008 07:15:55,CN=HRC-Transfer/OU=Agents/O=TACOM,286,75,209,4,71,0,Yes,Yes,"10/06/2008 07:15 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;10/06/2008 07:15 75 case record(s), 209 award record(s);10/06/2008 07:15 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20081006_6.TXT
69DEB1AF18573B5B85F8F197D77EB939,10312,,04/12/2005 04:44:37,04/12/2005 06:01:37,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20050412_b12.dat,nprc_awd_20050412_b12.dat,NPRC,NPRC-DELIM,04/12/2005,04/12/2005 04:44:37,04/08/2005,Imported,04/12/2005 06:01:37,CN=HRC-Transfer/OU=Agents/O=TACOM,913,248,663,31,217,0,N/A,N/A,"04/12/2005 06:01 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;04/12/2005 06:01 248 case record(s), 663 award record(s);04/12/2005 06:01 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20050412_B12.DAT
1ABFEE7126B7C09178928257CCA455C3,10316,,09/27/2021 04:13:37,09/27/2021 05:04:37,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20210927_4.txt,HRC_AWD_20210927_4.txt,HRC,HRC-FIXED,09/27/2021,09/27/2021 04:13:37,09/25/2021,Imported,09/27/2021 05:04:37,CN=HRC-Transfer/OU=Agents/O=TACOM,94,24,68,1,23,0,Yes,Yes,"09/27/2021 05:04 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;09/27/2021 05:04 24 case record(s), 68 award record(s);09/27/2021 05:04 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20210927_4.TXT
60CC79866CE36FF2CCB3578F727AC6CE,1031A,,10/16/2024 05:37:15,10/16/2024 06:58:15,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20241016_2.txt,HRC_AWD_20241016_2.txt,HRC,HRC-FIXED,10/16/2024,10/16/2024 05:37:15,10/15/2024,Imported,10/16/2024 06:58:15,CN=HRC-Transfer/OU=Agents/O=TACOM,49,10,37,0,10,0,Yes,Yes,"10/16/2024 06:58 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;10/16/2024 06:58 10 case record(s), 37 award record(s);10/16/2024 06:58 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20241016_2.TXT
69E2E202FA2E9FBA36371B10A415D6AD,1031E,,01/09/2009 06:38:53,01/09/2009 07:59:53,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20090109_b92.dat,nprc_awd_20090109_b92.dat,NPRC,NPRC-DELIM,01/09/2009,01/09/2009 06:38:53,01/07/2009,Imported,01/09/2009 07:59:53,CN=HRC-Transfer/OU=Agents/O=TACOM,405,107,296,9,98,0,N/A,N/A,"01/09/2009 07:59 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;01/09/2009 07:59 107 case record(s), 296 award record(s);01/09/2009 07:59 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20090109_B92.DAT
